,GEN,NIT,SAM,SXT,CAZ,CIP,TOB,TZP,TCY,AMK,LVX,MEM,ETP,CZO,CXM,IPM,FOX
GCA_022059175,S,,R,R,R,R,R,I,R,S,S,S,,R,R,I,S
GCA_022059195,S,R,R,R,R,R,R,R,S,S,R,S,,R,R,S,S
GCA_022059225,R,R,R,S,R,S,I,R,S,S,S,S,,R,R,S,S
GCA_022059265,S,R,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022059305,R,R,R,R,I,R,R,R,R,S,R,S,,R,R,S,I
GCA_022059335,S,I,R,S,S,S,S,S,S,S,S,S,,R,R,S,S
GCA_022059365,S,R,R,R,R,R,R,I,S,I,R,S,,R,R,S,S
GCA_022059395,R,R,R,R,R,R,R,R,R,R,R,S,,R,R,S,R
GCA_022059415,R,R,R,R,R,R,R,R,I,S,R,I,,R,R,S,R
GCA_022059435,S,I,R,R,R,S,S,R,S,R,S,S,,R,R,S,S
GCA_022059455,S,R,R,R,S,R,S,I,R,S,I,S,,S,R,S,R
GCA_022059495,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,R,R
GCA_022059515,S,R,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022059535,R,,R,R,R,R,I,R,S,S,R,S,,R,R,S,R
GCA_022059555,S,R,R,S,R,R,S,S,S,S,R,S,,R,R,S,S
GCA_022059595,R,R,R,R,R,R,R,R,I,S,R,S,,R,R,S,R
GCA_022059615,R,R,R,R,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022059635,S,R,R,S,R,R,S,R,S,S,R,S,,R,R,S,S
GCA_022059655,S,I,R,S,R,I,S,S,S,S,S,S,,R,I,S,S
GCA_022059675,S,,R,R,R,R,R,R,S,I,R,S,,R,R,S,S
GCA_022059695,S,I,I,R,R,I,S,S,S,S,S,S,,R,R,S,S
GCA_022059715,S,R,R,R,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022059735,S,R,R,R,I,R,S,S,S,S,S,S,,R,R,S,S
GCA_022059755,S,R,R,R,R,R,R,R,R,S,R,R,,R,R,R,R
GCA_022059775,S,I,R,R,R,R,S,R,S,S,R,R,,R,R,R,I
GCA_022059795,S,,R,R,R,R,I,R,R,S,R,S,,R,R,S,S
GCA_022059815,R,R,R,R,R,R,I,S,R,S,R,S,,R,R,S,S
GCA_022060045,S,R,R,S,R,R,S,R,S,S,R,S,,R,R,S,I
GCA_022060065,S,R,R,R,R,R,R,R,S,I,R,I,,R,R,R,R
GCA_022060085,R,,R,R,R,R,S,R,R,S,R,I,,R,R,S,R
GCA_022060125,S,I,R,R,R,R,I,I,R,S,R,S,,R,R,S,S
GCA_022060145,S,,R,R,R,R,S,R,S,S,R,R,,R,R,R,R
GCA_022060165,R,R,R,S,R,R,I,R,R,S,R,S,,R,R,S,R
GCA_022060185,S,R,R,R,R,R,R,R,S,I,R,R,,R,R,R,R
GCA_022060205,S,,R,S,R,R,S,R,S,S,R,S,,R,R,S,S
GCA_022060225,S,,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022060245,S,,R,R,R,R,I,R,I,S,R,R,,R,R,R,R
GCA_022060265,R,,R,S,R,R,R,R,I,S,I,I,,R,R,I,R
GCA_022060305,S,,R,R,R,R,R,R,I,S,R,R,,R,R,R,R
GCA_022060325,S,,R,R,R,R,R,I,R,S,S,S,,R,R,S,S
GCA_022060345,S,R,R,R,R,R,R,R,R,I,R,R,,R,R,R,R
GCA_022060385,S,R,R,R,R,R,R,R,I,I,R,R,,R,R,R,R
GCA_022060405,S,,R,R,R,R,R,S,I,I,R,S,,R,R,S,I
GCA_022060425,R,,R,S,R,R,I,R,R,S,R,R,,R,R,R,R
GCA_022060445,S,,R,R,R,R,R,I,I,I,R,S,,R,R,S,S
GCA_022060465,S,R,I,S,R,R,R,S,S,I,R,S,,R,R,S,
